model,noise_level,model_seed,checkpoint_epoch,split,category,threshold_name,threshold,n_positions,mean_logit_range,mean_logit_std,mean_probability_range,prediction_flip_rate,all_candidates_correct_fraction,individual_candidate_accuracy,mean_worst_case_correct_class_score,prediction_flip_rate_ci_lo,prediction_flip_rate_ci_hi,bootstrap_clusters,bootstrap_replicates,source_file
bert_lora,0.0,9950,20,test,fixed_zero,fixed_0p5,0.5,109801,0.2185780853033065,0.0572765506803989,0.0001188376991194,2.7322155535924083e-05,0.999972677844464,0.9999975480116828,0.9998555779457092,0.0,6.380001066836695e-05,7083,1000,/fp/homes01/u01/ec-michelec/LLMSeq-FOX/results/oc_hole_audit/runs/evaluation/bert_lora_pi0p0_s9950_a032debace/hole_stability_metrics_test.csv
bert_lora,0.0,9950,20,test,fixed_zero,validation_selected,0.4999999999999999,109801,0.2185780853033065,0.0572765506803989,0.0001188376991194,2.7322155535924083e-05,0.999972677844464,0.9999975480116828,0.9998555779457092,0.0,6.374248038248878e-05,7083,1000,/fp/homes01/u01/ec-michelec/LLMSeq-FOX/results/oc_hole_audit/runs/evaluation/bert_lora_pi0p0_s9950_a032debace/hole_stability_metrics_test.csv
bert_lora,0.0,9950,20,test,fixed_one,fixed_0p5,0.5,51258,0.2606603801250458,0.0636762604117393,0.0001488876441726,1.9509149791252097e-05,0.9999804908502088,0.999999249648085,0.9998405575752258,0.0,5.857210006361678e-05,2917,1000,/fp/homes01/u01/ec-michelec/LLMSeq-FOX/results/oc_hole_audit/runs/evaluation/bert_lora_pi0p0_s9950_a032debace/hole_stability_metrics_test.csv
bert_lora,0.0,9950,20,test,fixed_one,validation_selected,0.4999999999999999,51258,0.2606603801250458,0.0636762604117393,0.0001488876441726,1.9509149791252097e-05,0.9999804908502088,0.999999249648085,0.9998405575752258,0.0,5.862930546965923e-05,2917,1000,/fp/homes01/u01/ec-michelec/LLMSeq-FOX/results/oc_hole_audit/runs/evaluation/bert_lora_pi0p0_s9950_a032debace/hole_stability_metrics_test.csv
bert_lora,0.3,9950,20,test,fixed_zero,fixed_0p5,0.5,109801,0.2007241249084472,0.049756072461605,0.0928308442234993,0.2657717142831122,0.6471252538683618,0.8536404670547347,0.5685930252075195,0.2598108189520852,0.2719748546238398,7083,1000,/fp/homes01/u01/ec-michelec/LLMSeq-FOX/results/oc_hole_audit/runs/evaluation/bert_lora_pi0p3_s9950_4e1288c85a/hole_stability_metrics_test.csv
bert_lora,0.3,9950,20,test,fixed_zero,validation_selected,0.2799999999999999,109801,0.2007241249084472,0.049756072461605,0.0928308442234993,0.046420342255535,0.0018943361171574,0.0145833756593221,0.5685930252075195,0.042793346746506,0.0500096162075117,7083,1000,/fp/homes01/u01/ec-michelec/LLMSeq-FOX/results/oc_hole_audit/runs/evaluation/bert_lora_pi0p3_s9950_4e1288c85a/hole_stability_metrics_test.csv
bert_lora,0.3,9950,20,test,fixed_one,fixed_0p5,0.5,51258,0.1487122029066085,0.0340621471405029,0.0850194841623306,0.1852003589683561,0.7906278044402825,0.8871568265516527,0.5774685740470886,0.1743935390404704,0.1965801119228439,2917,1000,/fp/homes01/u01/ec-michelec/LLMSeq-FOX/results/oc_hole_audit/runs/evaluation/bert_lora_pi0p3_s9950_4e1288c85a/hole_stability_metrics_test.csv
bert_lora,0.3,9950,20,test,fixed_one,validation_selected,0.2799999999999999,51258,0.1487122029066085,0.0340621471405029,0.0850194841623306,0.0,1.0,1.0,0.5774685740470886,0.0,0.0,2917,1000,/fp/homes01/u01/ec-michelec/LLMSeq-FOX/results/oc_hole_audit/runs/evaluation/bert_lora_pi0p3_s9950_4e1288c85a/hole_stability_metrics_test.csv
llama_lora,0.0,9950,13,test,fixed_zero,fixed_0p5,0.5,109801,0.0359030216932296,0.0119786914438009,1.9238770576635034e-09,0.0,1.0,1.0,0.9999999403953552,0.0,0.0,7083,1000,/fp/homes01/u01/ec-michelec/LLMSeq-FOX/results/oc_hole_audit/runs/evaluation/llama_lora_pi0p0_s9950_a812819abb/hole_stability_metrics_test.csv
llama_lora,0.0,9950,13,test,fixed_zero,validation_selected,0.4999999999999999,109801,0.0359030216932296,0.0119786914438009,1.9238770576635034e-09,0.0,1.0,1.0,0.9999999403953552,0.0,0.0,7083,1000,/fp/homes01/u01/ec-michelec/LLMSeq-FOX/results/oc_hole_audit/runs/evaluation/llama_lora_pi0p0_s9950_a812819abb/hole_stability_metrics_test.csv
