model,noise_level,model_seed,run_directory,epoch,train_loss,standard_validation_loss,standard_observed_validation_auc,standard_latent_validation_auc,standard_validation_f1,learning_rate,best_epoch_so_far,patience_counter,training_seconds
bert_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p0/seed_9950,1,0.5584811663532258,0.4743597212409973,0.8018885227690984,0.8018885227690984,0.51014939915557,1.6666666666666667e-05,1,0,499.5694406032562
bert_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p0/seed_9950,2,0.4651344653177261,0.4381756920433044,0.8427819485501892,0.8427819485501892,0.6300723497955332,1.914893617021277e-05,2,0,1096.693463563919
bert_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p0/seed_9950,3,0.4149917974390089,0.3825480102729797,0.8966985389432978,0.8966985389432978,0.7123146799211586,1.8085106382978724e-05,3,0,1697.3517186641693
bert_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p0/seed_9950,4,0.3482301235518977,0.2455689579391479,0.95796271283699,0.95796271283699,0.825588716786299,1.7021276595744682e-05,4,0,2199.8821432590485
bert_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p0/seed_9950,5,0.2587432006338239,0.1480688716506958,0.9891312599501284,0.9891312599501284,0.8947153321387029,1.595744680851064e-05,5,0,2703.173177957535
bert_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p0/seed_9950,6,0.1774958315079705,0.0633339835840463,0.99756664428039,0.99756664428039,0.95718901453958,1.4893617021276596e-05,6,0,3205.0298025608063
bert_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p0/seed_9950,7,0.1241978723306476,0.029353896311745,0.9994907013629254,0.9994907013629254,0.9804576924388664,1.3829787234042556e-05,7,0,3710.570289850235
bert_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p0/seed_9950,8,0.0844075672738751,0.0147790587434545,0.9998663320363944,0.9998663320363944,0.9909311796310872,1.2765957446808513e-05,8,0,4213.366458177567
bert_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p0/seed_9950,9,0.0539390844939298,0.0054371605942677,0.9999805652364128,0.9999805652364128,0.9967411066515728,1.170212765957447e-05,9,0,4718.970862627029
bert_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p0/seed_9950,10,0.0332108371624864,0.0032017858687788,0.999993272656294,0.999993272656294,0.997599451303155,1.0638297872340426e-05,10,0,5223.171699285507
bert_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p0/seed_9950,11,0.0226944618515102,0.0014505475191504,0.9999986806662632,0.9999986806662632,0.9990401755107636,9.574468085106385e-06,11,0,5725.996628761292
bert_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p0/seed_9950,12,0.0168906560585194,0.0007983632830844,0.9999996321740132,0.9999996321740132,0.9994858611825193,8.510638297872341e-06,12,0,6231.137010812759
bert_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p0/seed_9950,13,0.0124416611343092,0.0004523199117247,0.9999999225629502,0.9999999225629502,0.9997257832316446,7.446808510638298e-06,13,0,6733.47932267189
bert_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p0/seed_9950,14,0.0101849170721719,0.0002459209430267,0.99999998451259,0.99999998451259,0.9998971581365056,6.382978723404256e-06,14,0,7237.892883062363
bert_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p0/seed_9950,15,0.0086625140098827,0.0001008159307109,1.0,1.0,0.999965721728996,5.319148936170213e-06,15,0,7740.517373561859
bert_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p0/seed_9950,16,0.0072841010904398,0.0001153374773649,1.0,1.0,1.0,4.255319148936171e-06,15,1,8241.022991657257
bert_lora,0.0,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p0/seed_9950,17,0.0066277302670134,7.938814937442657e-05,1.0,1.0,1.0,3.191489361702128e-06,17,0,8844.949691772461
